content	created_date	created_datetime	is_rumour	misinformation	which_rumour
#UPDATE Three men including two brothers identified in France newspaper attack: source http://t.co/5NoNuqJSu1 #JeSuisCharlie #CharlieHebdo	2015-01-08	2015-01-08 00:25:53+00:00	rumour	0	charliehebdo
"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A"	2015-01-07	2015-01-07 12:54:16+00:00	rumour	0	charliehebdo
"Paris Murder Suspects Cornered with Hostage
http://t.co/yzHJi4Hw54"	2015-01-09	2015-01-09 09:52:09+00:00	rumour	1	charliehebdo
Two shot in Paris, including traffic cop, as manhunt continues for #CharlieHebdo suspects http://t.co/L7wpNhAYZn http://t.co/oQi2UinDH1	2015-01-08	2015-01-08 08:36:19+00:00	rumour	0	charliehebdo
Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT	2015-01-08	2015-01-08 00:00:27+00:00	rumour	1	charliehebdo
Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack	2015-01-09	2015-01-09 11:24:54+00:00	rumour	0	charliehebdo
On Israeli TV, an Israeli woman speaks of her nephew,a mother with 6 month old baby, held hostage in the supermarket in Paris. #JeSuisJuif	2015-01-09	2015-01-09 14:28:40+00:00	rumour	0	charliehebdo
Police convoy and helicopters are rushing to scene to detain Charlie Hebdo massacre suspects http://t.co/XdUgohNDhv http://t.co/MSROYqs14o	2015-01-09	2015-01-09 09:00:53+00:00	rumour	0	charliehebdo
Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5	2015-01-07	2015-01-07 12:23:18+00:00	rumour	0	charliehebdo
Map shows industrial estate where 2 #CharlieHebdo suspects are holed up, surrounded by police http://t.co/hi9g8dxpiR http://t.co/Vw2L6SQcMH	2015-01-09	2015-01-09 11:00:33+00:00	rumour	0	charliehebdo
AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.	2015-01-09	2015-01-09 13:47:17+00:00	rumour	0	charliehebdo
French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB	2015-01-08	2015-01-08 12:05:51+00:00	rumour	0	charliehebdo
Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) http://t.co/GKFP5xVAoc	2015-01-08	2015-01-08 00:18:23+00:00	rumour	1	charliehebdo
#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF	2015-01-09	2015-01-09 10:46:57+00:00	rumour	0	charliehebdo
At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K	2015-01-07	2015-01-07 12:57:59+00:00	rumour	0	charliehebdo
